Time,yoc_temp,yoc_SP,yoc_p1,yoc_p2,yoc_p3,yoc_p4,yoc_p5,yoc_bl1,yoc_bl2,yoc_lights,yoc_stereo,yoc_h1,yoc_h2,yoc_filter,yoc_bl3,yoc_bl4,yoc_bl5,yoc_bl6,yoc_h_adc,yoc_bl7,yoc_econ,yoc_i_adc,yoc_all_on,yoc_bl8,yoc_bl9,yoc_bl10
2020-09-29 20:55:45,77,100,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,78,0,0,2373,0,0,0,0
2020-09-29 21:00:35,77,100,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,79,0,0,2349,0,0,0,0
2020-09-29 21:05:25,77,100,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,79,0,0,2315,0,0,0,0
2020-09-29 21:10:15,78,100,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,80,0,0,2352,0,0,0,0
2020-09-29 21:15:05,78,100,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,81,0,0,2308,0,0,0,0
2020-09-29 21:19:55,79,100,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,82,0,0,2349,0,0,0,0
2020-09-29 21:24:45,79,100,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,83,0,0,2363,0,0,0,0
2020-09-29 21:29:35,80,100,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,83,0,0,2349,0,0,0,0
2020-09-29 21:34:25,80,100,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,84,0,0,2349,0,0,0,0
2020-09-29 21:39:15,81,100,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,84,0,0,2366,0,0,0,0
2020-09-29 21:44:05,81,100,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,85,0,0,2359,0,0,0,0
2020-09-29 21:48:55,82,100,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,86,0,0,2305,0,0,0,0
2020-09-29 21:51:26,82,100,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,87,0,0,2332,0,0,0,0
2020-09-29 21:51:26,82,100,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,87,0,0,2332,0,0,0,0
2020-09-29 21:51:26,82,100,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,86,0,0,1502,0,0,0,0
2020-09-29 21:51:26,82,100,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,86,0,0,115,0,0,0,0
2020-09-29 21:54:25,82,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,112,0,0,0,0
2020-09-29 21:54:26,82,100,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,84,0,0,112,0,0,0,0
2020-09-29 21:54:55,82,100,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,84,0,0,108,0,0,0,0
2020-09-29 21:54:56,82,100,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,84,0,0,1254,0,0,0,0
2020-09-29 21:54:56,82,100,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,84,0,0,2363,0,0,0,0
2020-09-29 21:58:20,82,100,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,87,0,0,2308,0,0,0,0
2020-09-29 21:58:20,82,100,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,87,0,0,2308,0,0,0,0
2020-09-29 21:58:20,83,100,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,87,0,0,2087,0,0,0,0
2020-09-29 21:58:20,83,100,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,87,0,0,108,0,0,0,0
2020-09-29 22:01:19,83,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,108,0,0,0,0
2020-09-29 22:01:20,83,100,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,85,0,0,108,0,0,0,0
2020-09-29 22:01:49,83,100,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,84,0,0,108,0,0,0,0
2020-09-29 22:01:50,83,100,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,84,0,0,2074,0,0,0,0
2020-09-29 22:01:50,83,100,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,85,0,0,2329,0,0,0,0
2020-09-29 22:03:41,83,100,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,88,0,0,2325,0,0,0,0
2020-09-29 22:03:41,83,100,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,88,0,0,2325,0,0,0,0
2020-09-29 22:03:41,83,100,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,87,0,0,1162,0,0,0,0
2020-09-29 22:03:41,83,100,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,87,0,0,105,0,0,0,0
2020-09-29 22:06:41,83,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,108,0,0,0,0
2020-09-29 22:06:41,83,100,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,85,0,0,108,0,0,0,0
2020-09-29 22:07:11,83,100,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,85,0,0,108,0,0,0,0
2020-09-29 22:07:11,83,100,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,85,0,0,1659,0,0,0,0
2020-09-29 22:07:11,83,100,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,85,0,0,2363,0,0,0,0
2020-09-29 22:08:23,83,100,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,88,0,0,2335,0,0,0,0
2020-09-29 22:08:23,83,100,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,88,0,0,2335,0,0,0,0
2020-09-29 22:08:23,83,100,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,87,0,0,112,0,0,0,0
2020-09-29 22:11:23,83,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,108,0,0,0,0
2020-09-29 22:11:23,83,100,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,85,0,0,108,0,0,0,0
2020-09-29 22:11:53,83,100,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,85,0,0,108,0,0,0,0
2020-09-29 22:11:53,83,100,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,85,0,0,2288,0,0,0,0
2020-09-29 22:13:10,83,100,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,88,0,0,2325,0,0,0,0
2020-09-29 22:13:10,83,100,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,88,0,0,2325,0,0,0,0
2020-09-29 22:13:10,83,100,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,88,0,0,1788,0,0,0,0
2020-09-29 22:13:10,83,100,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,88,0,0,112,0,0,0,0
2020-09-29 22:16:10,84,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,108,0,0,0,0
2020-09-29 22:16:10,84,100,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,85,0,0,108,0,0,0,0
2020-09-29 22:16:40,84,100,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,85,0,0,108,0,0,0,0
2020-09-29 22:16:40,84,100,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,85,0,0,1734,0,0,0,0
2020-09-29 22:16:40,84,100,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,85,0,0,2373,0,0,0,0
2020-09-29 22:17:39,84,100,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,88,0,0,2305,0,0,0,0
2020-09-29 22:17:39,84,100,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,88,0,0,2305,0,0,0,0
2020-09-29 22:17:40,84,100,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,88,0,0,112,0,0,0,0
2020-09-29 22:20:39,84,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,112,0,0,0,0
2020-09-29 22:20:39,84,100,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,85,0,0,112,0,0,0,0
2020-09-29 22:21:09,84,100,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,85,0,0,108,0,0,0,0
2020-09-29 22:21:09,84,100,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,85,0,0,1414,0,0,0,0
2020-09-29 22:21:09,84,100,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,85,0,0,2339,0,0,0,0
2020-09-29 22:22:15,84,100,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,89,0,0,2308,0,0,0,0
2020-09-29 22:22:15,84,100,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,89,0,0,2308,0,0,0,0
2020-09-29 22:22:15,84,100,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,88,0,0,1489,0,0,0,0
2020-09-29 22:22:15,84,100,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,88,0,0,108,0,0,0,0
2020-09-29 22:25:15,84,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,108,0,0,0,0
2020-09-29 22:25:15,84,100,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,85,0,0,108,0,0,0,0
2020-09-29 22:25:45,84,100,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,85,0,0,108,0,0,0,0
2020-09-29 22:25:45,84,100,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,85,0,0,1179,0,0,0,0
2020-09-29 22:25:45,84,100,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,85,0,0,2335,0,0,0,0
2020-09-29 22:26:38,84,100,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,89,0,0,2335,0,0,0,0
2020-09-29 22:26:38,84,100,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,89,0,0,2335,0,0,0,0
2020-09-29 22:26:38,84,100,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,88,0,0,2131,0,0,0,0
2020-09-29 22:26:38,84,100,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,88,0,0,108,0,0,0,0
2020-09-29 22:29:38,84,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,108,0,0,0,0
2020-09-29 22:29:38,84,100,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,85,0,0,108,0,0,0,0
2020-09-29 22:30:08,84,100,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,85,0,0,108,0,0,0,0
2020-09-29 22:30:08,84,100,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,85,0,0,598,0,0,0,0
2020-09-29 22:30:08,84,100,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,85,0,0,2373,0,0,0,0
2020-09-29 22:31:02,84,100,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,89,0,0,2329,0,0,0,0
2020-09-29 22:31:02,84,100,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,89,0,0,2329,0,0,0,0
2020-09-29 22:31:02,84,100,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,88,0,0,112,0,0,0,0
2020-09-29 22:34:02,84,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,108,0,0,0,0
2020-09-29 22:34:02,84,100,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,85,0,0,108,0,0,0,0
2020-09-29 22:34:32,84,100,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,85,0,0,105,0,0,0,0
2020-09-29 22:34:32,84,100,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,85,0,0,1587,0,0,0,0
2020-09-29 22:34:32,84,100,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,85,0,0,2373,0,0,0,0
2020-09-29 22:35:22,84,100,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,89,0,0,2322,0,0,0,0
2020-09-29 22:35:22,84,100,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,89,0,0,2322,0,0,0,0
2020-09-29 22:35:22,84,100,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,89,0,0,1900,0,0,0,0
2020-09-29 22:35:22,84,100,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,89,0,0,108,0,0,0,0
2020-09-29 22:38:22,84,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,105,0,0,0,0
2020-09-29 22:38:22,84,100,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,85,0,0,105,0,0,0,0
2020-09-29 22:38:52,84,100,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,85,0,0,108,0,0,0,0
2020-09-29 22:38:52,84,100,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,85,0,0,1468,0,0,0,0
2020-09-29 22:38:52,84,100,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,85,0,0,2329,0,0,0,0
2020-09-29 22:39:50,84,100,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,89,0,0,2318,0,0,0,0
2020-09-29 22:39:50,84,100,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,89,0,0,2318,0,0,0,0
2020-09-29 22:39:50,84,100,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,89,0,0,1298,0,0,0,0
2020-09-29 22:39:50,84,100,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,89,0,0,108,0,0,0,0
2020-09-29 22:42:50,84,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,105,0,0,0,0
2020-09-29 22:42:50,84,100,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,85,0,0,105,0,0,0,0
2020-09-29 22:43:20,84,100,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,85,0,0,108,0,0,0,0
2020-09-29 22:43:20,84,100,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,85,0,0,1822,0,0,0,0
2020-09-29 22:43:20,84,100,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,85,0,0,2332,0,0,0,0
2020-09-29 22:44:19,84,100,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,89,0,0,2322,0,0,0,0
2020-09-29 22:44:19,84,100,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,89,0,0,2322,0,0,0,0
2020-09-29 22:44:19,84,100,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,89,0,0,1468,0,0,0,0
2020-09-29 22:44:19,84,100,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,89,0,0,108,0,0,0,0
2020-09-29 22:47:19,84,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,108,0,0,0,0
2020-09-29 22:47:19,84,100,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,85,0,0,108,0,0,0,0
2020-09-29 22:47:49,85,100,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,85,0,0,108,0,0,0,0
2020-09-29 22:47:49,85,100,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,85,0,0,1438,0,0,0,0
2020-09-29 22:47:49,85,100,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,85,0,0,2329,0,0,0,0
2020-09-29 22:48:35,85,100,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,89,0,0,2305,0,0,0,0
2020-09-29 22:48:35,85,100,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,89,0,0,2305,0,0,0,0
2020-09-29 22:48:35,85,100,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,89,0,0,476,0,0,0,0
2020-09-29 22:48:35,85,100,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,89,0,0,105,0,0,0,0
2020-09-29 22:51:35,85,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,108,0,0,0,0
2020-09-29 22:51:35,85,100,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,86,0,0,108,0,0,0,0
2020-09-29 22:52:05,85,100,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,85,0,0,108,0,0,0,0
2020-09-29 22:52:05,85,100,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,85,0,0,1587,0,0,0,0
2020-09-29 22:52:05,85,100,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,85,0,0,2376,0,0,0,0
2020-09-29 22:52:46,85,100,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,89,0,0,2322,0,0,0,0
2020-09-29 22:52:46,85,100,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,89,0,0,2322,0,0,0,0
2020-09-29 22:52:46,85,100,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,89,0,0,693,0,0,0,0
2020-09-29 22:52:46,85,100,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,89,0,0,108,0,0,0,0
2020-09-29 22:55:46,85,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,108,0,0,0,0
2020-09-29 22:55:46,85,100,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,86,0,0,108,0,0,0,0
2020-09-29 22:56:16,85,100,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,85,0,0,108,0,0,0,0
2020-09-29 22:56:16,85,100,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,86,0,0,2091,0,0,0,0
2020-09-29 22:56:16,85,100,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,86,0,0,2349,0,0,0,0
2020-09-29 22:56:35,85,100,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,86,0,0,2332,0,0,0,0
2020-09-29 22:56:53,85,100,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,89,0,0,2329,0,0,0,0
2020-09-29 22:56:53,85,100,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,89,0,0,2329,0,0,0,0
2020-09-29 22:56:53,85,100,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,89,0,0,1625,0,0,0,0
2020-09-29 22:56:53,85,100,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,89,0,0,102,0,0,0,0
2020-09-29 22:59:53,85,100,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,86,0,0,102,0,0,0,0
2020-09-29 22:59:53,85,100,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,86,0,0,102,0,0,0,0
2020-09-29 23:00:23,85,100,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,86,0,0,102,0,0,0,0
2020-09-29 23:00:23,85,100,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,86,0,0,2298,0,0,0,0
2020-09-29 23:01:02,85,100,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,90,0,0,2332,0,0,0,0
2020-09-29 23:01:02,85,100,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,90,0,0,2332,0,0,0,0
2020-09-29 23:01:02,85,100,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,89,0,0,1139,0,0,0,0
2020-09-29 23:01:02,85,100,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,89,0,0,105,0,0,0,0
2020-09-29 23:04:02,85,100,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,86,0,0,105,0,0,0,0
2020-09-29 23:04:02,85,100,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,86,0,0,105,0,0,0,0
2020-09-29 23:04:32,85,100,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,86,0,0,105,0,0,0,0
2020-09-29 23:04:32,85,100,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,86,0,0,989,0,0,0,0
2020-09-29 23:04:32,85,100,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,86,0,0,2363,0,0,0,0
2020-09-29 23:05:15,85,100,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,90,0,0,2332,0,0,0,0
2020-09-29 23:05:15,85,100,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,90,0,0,2332,0,0,0,0
2020-09-29 23:05:15,85,100,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,89,0,0,1910,0,0,0,0
2020-09-29 23:05:15,85,100,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,89,0,0,102,0,0,0,0
2020-09-29 23:08:15,85,100,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,86,0,0,102,0,0,0,0
2020-09-29 23:08:15,85,100,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,86,0,0,102,0,0,0,0
2020-09-29 23:08:45,85,100,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,86,0,0,105,0,0,0,0
2020-09-29 23:08:45,85,100,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,86,0,0,595,0,0,0,0
2020-09-29 23:08:45,85,100,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,86,0,0,2369,0,0,0,0
2020-09-29 23:09:26,85,100,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,90,0,0,2315,0,0,0,0
2020-09-29 23:09:26,85,100,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,90,0,0,2315,0,0,0,0
2020-09-29 23:09:27,85,100,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,90,0,0,102,0,0,0,0
2020-09-29 23:11:42,85,100,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,86,0,0,2658,0,0,0,0
2020-09-29 23:11:42,85,100,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,86,0,0,26163,0,0,0,0
2020-09-29 23:11:42,85,100,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,86,0,0,3468,0,0,0,0
2020-09-29 23:11:42,85,100,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,86,0,0,1196,0,0,0,0
2020-09-29 23:12:26,85,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,86,0,0,1230,0,0,0,0
2020-09-29 23:12:26,85,100,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,86,0,0,1230,0,0,0,0
2020-09-29 23:12:42,85,100,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,86,0,0,3893,0,0,0,0
2020-09-29 23:12:42,85,100,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,86,0,0,26163,0,0,0,0
2020-09-29 23:12:42,85,100,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,86,0,0,3587,0,0,0,0
2020-09-29 23:12:42,85,100,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,86,0,0,1203,0,0,0,0
2020-09-29 23:12:56,85,100,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,86,0,0,1210,0,0,0,0
2020-09-29 23:12:56,85,100,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,86,0,0,3349,0,0,0,0
2020-09-29 23:12:56,85,100,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,86,0,0,3488,0,0,0,0
2020-09-29 23:13:25,85,102,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,88,0,0,3430,0,0,0,0
2020-09-29 23:13:42,85,102,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,89,0,0,3213,0,0,0,0
2020-09-29 23:13:42,85,102,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,89,0,0,2325,0,0,0,0
2020-09-29 23:13:50,85,102,1,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,90,0,0,2332,0,0,0,0
2020-09-29 23:13:50,85,102,1,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,90,0,0,2332,0,0,0,0
2020-09-29 23:13:50,85,102,1,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,90,0,0,2186,0,0,0,0
2020-09-29 23:13:50,85,102,1,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,90,0,0,108,0,0,0,0
2020-09-29 23:16:50,85,102,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,86,0,0,105,0,0,0,0
2020-09-29 23:16:50,85,102,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,86,0,0,105,0,0,0,0
